"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Git1",-0.0983591778495949,3.86512270670278,-0.505860852654715,0.626238785424459,0.879028194082364,-6.48946822195993,"Git1",4,-0.465659845785826,0.653434681911045,0.883323694456466,"Git1"
"Ccar1",-0.0250809187519607,11.57931980739,-0.391168418511274,0.705616979057828,0.911974240179807,-6.54477936604367,"Ccar1",31,-0.46550120201831,0.653543637352384,0.883323694456466,"Ccar1"
"Vps52",-0.10390719594794,5.22272531790336,-0.500403515404397,0.629911763624251,0.881554263568262,-6.49240324511459,"Vps52",3,-0.465265961162385,0.653705215317571,0.883323694456466,"Vps52"
"Xpnpep1",-0.0298328789250135,9.76565251718911,-0.424451170600564,0.682128036696522,0.902685517969376,-6.53011835778447,"Xpnpep1",15,-0.465183649867019,0.653761756366076,0.883323694456466,"Xpnpep1"
"Kif5a",-0.0277876885783899,5.22812165224808,-0.419366497613379,0.685693641325527,0.904873442731272,-6.53243237462203,"Kif5a",10,-0.465163263178022,0.653775760699687,0.883323694456466,"Kif5a"
"Lamp1",-0.0525588413418152,7.36235300369105,-0.451373601468621,0.663391196217423,0.895529297680188,-6.51742273489021,"Lamp1",5,-0.464780955043261,0.654038408457438,0.883460422384374,"Lamp1"
"Mbd3",-0.0482093073129164,9.5704547855861,-0.452362011818758,0.662707950699422,0.895392075611663,-6.51694249462921,"Mbd3",13,-0.464350207832778,0.654334395188259,0.883642105249298,"Mbd3"
"Ubxn1",0.0703067777937711,7.93806690604671,0.454097157234592,0.661509328132348,0.89490791337532,-6.51609702243054,"Ubxn1",12,0.463980437137173,0.654588533660668,0.883767198665477,"Ubxn1"
"Eif2b2",0.0554354413923495,8.24984988254076,0.467655930364009,0.652178846651596,0.890399862494395,-6.50938456676024,"Eif2b2",6,0.46371557235257,0.654770600973673,0.883794950302896,"Eif2b2"
"TREMBL:Q0IIK2 (Bos taurus) Transferrin",0.0694008009721951,11.6936819899759,0.446680971737218,0.666639553252737,0.897074672775369,-6.51968911575081,"TREMBL:Q0IIK2 (Bos taurus) Transferrin",28,0.46336878781565,0.655009016618755,0.883898727234976,"TREMBL:Q0IIK2 (Bos taurus) Transferrin"
"Stat5b",-0.0388449835899376,9.5144877137866,-0.420498323807481,0.684899227177935,0.904873442731272,-6.53191959368088,"Stat5b",28,-0.462869045018686,0.655352665230153,0.88394733994984,"Stat5b"
"Mtatp8",0.0977871588655947,7.44996916654827,0.470502182537037,0.650228331841378,0.890313357819797,-6.50795172413964,"Mtatp8",4,0.462688405772739,0.655476903351033,0.88394733994984,"Mtatp8"
"Cenpc",-0.0229151446536466,9.86856855842417,-0.381684148620225,0.712373490151897,0.913333584374691,-6.54874640374331,"Cenpc",24,-0.462611702266561,0.655529661095842,0.88394733994984,"Cenpc"
"Xpo4",-0.0351793755778855,7.77162942878177,-0.442019794958843,0.669873527789579,0.899120687532418,-6.52191798354431,"Xpo4",13,-0.461781643175429,0.656100718105243,0.884499415982235,"Xpo4"
"Snx1",0.0221234641055581,9.10658482429936,0.369248501998328,0.721273376027943,0.916796263327504,-6.55380552824689,"Snx1",17,0.461001932009905,0.65663735502975,0.885004829242067,"Snx1"
"Ik",-0.0200396485455929,9.57881584484502,-0.367407930612804,0.722594498037812,0.917302489510883,-6.55454056030568,"Ik",13,-0.460722068143706,0.656830023010891,0.885046512168332,"Ik"
"Tusc3",-0.0983174415053254,3.7279085593188,-0.47718095359379,0.645662636152492,0.889009787615355,-6.50455724414981,"Tusc3",3,-0.460480273632099,0.656996504585986,0.885049733678128,"Tusc3"
"Alg1",-0.110181213009172,3.14357050285116,-0.48933552331161,0.637394398712477,0.884995702629264,-6.49826378117378,"Alg1",3,-0.459948511076113,0.657362707659137,0.885049733678128,"Alg1"
"Eif1",-0.0654057561174817,8.70550648768588,-0.454636831920053,0.661136736265171,0.894815785516452,-6.51583343182953,"Eif1",4,-0.459805421538697,0.657461264273248,0.885049733678128,"Eif1"
"Cpt1b",0.0664665809313592,4.68050620404992,0.564612013832605,0.587410263571716,0.865410624355618,-6.45599227474426,"Cpt1b",4,0.459779121307447,0.6574793800076,0.885049733678128,"Cpt1b"
"TREMBL:Q3SZV7 (Bos taurus) Similar to hemopexin",-0.0713398057771464,9.21193760969905,-0.475251235726019,0.646980194953725,0.88943928506421,-6.50554266987965,"TREMBL:Q3SZV7 (Bos taurus) Similar to hemopexin",7,-0.458561256473733,0.658318513563301,0.885930595287793,"TREMBL:Q3SZV7 (Bos taurus) Similar to hemopexin"
"Rel",0.0637520996397791,4.97213423739283,0.480166798524017,0.643626592111347,0.88735820409002,-6.50302506288507,"Rel",5,0.458359535057456,0.658457553186304,0.885930595287793,"Rel"
